,output.Answer
anarchie,1.0
bevrijding,3.0
dissidentie,1.0
eenheid,1.0
emancipatie,5.0
gelijkheid,9.0
onafhankelijkheid,4.0
onrust,28.0
oproer,24.0
opstand,24.0
opstandigheid,1.0
protest,22.0
rechtvaardigheid,7.0
revolutie,15.0
staking,8.0
vandalisme,26.0
verwoesting,29.0
verzet,20.0
vrijheidsstrijd,8.0
