,output.Answer
autoriteit,1.0
bemoeienis,1.0
bevrijding,4.0
droevigheid,1.0
emancipatie,17.0
gelijkheid,20.0
hulp,1.0
omverwerping,1.0
onafhankelijkheid,6.0
ongehoorzaamheid,1.0
onrust,16.0
oorlog,1.0
oproer,13.0
opstand,24.0
orde herstellen,1.0
protest,19.0
rechtvaardigheid,10.0
revolutie,15.0
saamhorigheid,1.0
staking,4.0
vandalisme,17.0
vechtlust ,1.0
verlies,1.0
verwoesting,22.0
verzet,15.0
vrijheidsstrijd,9.0
woede ,1.0
