,output.Answer
(te late) damage control,1.0
bevrijding,3.0
boosheid,1.0
destructie,1.0
emancipatie,3.0
gelijkheid,7.0
onafhankelijkheid,1.0
oneerlijkheid,1.0
ongehoorzaamheid,1.0
ongeloof bij de mensen,1.0
ongeluk/niet met opzet,1.0
onrust,30.0
oproer,25.0
opstand,31.0
opstandigheid,1.0
protest,21.0
rechtvaardigheid,7.0
revolutie,8.0
staking,9.0
vandalisme,19.0
verwoesting,28.0
verzet,19.0
vrijheidsstrijd,8.0
wanhoop,1.0
