,output.Answer
anarchie,3.0
bevrijding,15.0
dissidentie,1.0
emancipatie,17.0
gelijkheid,29.0
heel triest,1.0
muiterij,1.0
omverwerping,1.0
onafhankelijkheid,11.0
onderdrukken,1.0
onrust,84.0
opkomen,1.0
oproer,31.0
opstand,60.0
opstandigheid,1.0
protest,65.0
rechtvaardigheid,39.0
revolutie,29.0
staking,6.0
uitbraak,2.0
vandalisme,54.0
verwoesting,68.0
verzet,29.0
vrijheidsstrijd,34.0
