unit;uqs;Connection level;;
101;0.5271995668235002;1;;
102;0.26949692479912923;1;;
103;0.4285500128738519;1;;
104;0.3428156195151172;1;;
105;0.3537268880105798;1;;
106;0.537397098772732;1;;
107;0.3826770382200058;1;;
108;0.4562587389628601;1;;
109;0.5960261618677155;1;;
110;0.3705027688762702;1;;
101;0.34969594591323533;2;;
102;0.3874304081368917;2;;
103;0.2707152212313658;2;;
104;0.52362610564367;2;;
105;0.4685129476928761;2;;
106;0.4212013011945915;2;;
107;0.46747064210883693;2;;
108;0.5410565040522936;2;;
109;0.4466402900314954;2;;
110;0.42464255954897956;2;;
101;0.29831001914779165;3;;
102;0.5047565636499113;3;;
103;0.3927987942946625;3;;
104;0.18003514640245688;3;;
105;0.25868452395761593;3;;
106;0.2541217302063224;3;;
107;0.3071473886692477;3;;
108;0.3843774847901792;3;;
109;0.4565055538107435;3;;
110;0.49140343562560035;3;;
101;0.3015573939830736;4;;
102;0.12115838736397404;4;;
103;0.5039837906850863;4;;
104;0.38730353489961467;4;;
105;0.32115838736397406;4;;
106;0.2719370843555109;4;;
107;0.41410305350238885;4;;
108;0.38637271904038256;4;;
109;0.5415343107872079;4;;
110;0.5624582126607457;4;;
101;0.4;5;;
102;0.0;5;;
103;0.0;5;;
104;0.4;5;;
105;0.5477225575051661;5;;
106;0.6;5;;
107;0.6708203932499369;5;;
108;0.8164965809277261;5;;
109;0.8;5;;
110;0.2886751345948129;5;;
