output.Answer,aqs,aqs_initial
180,1e-08,1e-08
180,0.13100113884872036,0.11764705882352941
180,1e-08,1e-08
180,1e-08,1e-08
180,0.07387235690904938,0.06862745098039214
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,0.06836100890838263,0.09095860566448803
180,0.3382848720631608,0.24771241830065363
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,0.03937868274494074,0.04926470588235294
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,1e-08,1e-08
180,0.6242156237213684,0.4984535480859011
180,1e-08,1e-08
180,1e-08,1e-08
180,0.18311568982846332,0.17914438502673796
180,0.3899061181867864,0.35161476355248006
180,1e-08,1e-08
180,1e-08,1e-08
180,0.5214262608501286,0.4639200124494241
180,0.41228983777753064,0.31979458450046705
180,0.13922157297454205,0.1579656862745098
180,1e-08,1e-08
180,0.23383559115336275,0.1411764705882353
180,0.06580168895862878,0.058823529411764705
180,0.5414043410433658,0.4343891402714933
180,1e-08,1e-08
180,1e-08,1e-08
180,0.6164354667454525,0.4819945625308946
180,0.25321945610797275,0.19907407407407407
180,0.18086217044545957,0.21100076394194028
180,1e-08,1e-08
180,1e-08,1e-08
