output.Answer,aqs,aqs_initial
140,1e-08,1e-08
140,0.09084290234067967,0.07692307692307693
140,1e-08,1e-08
140,1e-08,1e-08
140,0.09813437345588764,0.1111111111111111
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,0.17200362070342204,0.18693528693528697
140,0.48489234692243227,0.34532134532134523
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,0.043258444458194316,0.07051282051282051
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,1e-08,1e-08
140,0.7290218470228393,0.5867380482765097
140,1e-08,1e-08
140,1e-08,1e-08
140,0.20744112712698012,0.1626602564102564
140,0.4142121175101919,0.39375410913872455
140,1e-08,1e-08
140,1e-08,1e-08
140,0.556587430458745,0.46716378859236024
140,0.4701694864041951,0.3503496503496503
140,0.13787568786600427,0.13547008547008546
140,1e-08,1e-08
140,0.15140600795786088,0.07692307692307693
140,1e-08,1e-08
140,0.5886028043779649,0.450997150997151
140,1e-08,1e-08
140,1e-08,1e-08
140,0.6330270110943962,0.44775993237531736
140,0.35708036673167676,0.26762820512820507
140,0.1223230022931323,0.16065705128205127
140,1e-08,1e-08
140,1e-08,1e-08
