unit,judgment,job,duration,wqs,wwa,wsa,wqs_initial,wwa_initial,wsa_initial
10,10,1,0.0,0.36864305642641015,0.5064921465201648,0.7278356810844123,0.27720686772943837,0.4107567767094759,0.674868641121663
10,10,1,0.0,0.361200060997915,0.49991072247087376,0.7225291332273025,0.2720496405750287,0.40344761979183,0.6743121714670177
10,10,1,0.0,0.22434747490872836,0.4048022056754096,0.5542150506181314,0.15825958953245922,0.31667230443888433,0.49975822739813447
10,10,1,0.0,0.24135499497450053,0.41469121207543097,0.5820113567552496,0.18676408246147105,0.34200733564806907,0.5460820953081961
10,10,1,0.0,0.36035485224072644,0.5067660646404104,0.7110871808206534,0.28176788765701083,0.41884046996640667,0.6727331952416398
10,10,1,0.0,0.39251509002582213,0.5223017145944052,0.7515102460091113,0.304713646887025,0.4306335884104987,0.7075937759795892
10,10,1,0.0,0.13154239163226294,0.3059601897470932,0.4299330306370771,0.12540424727791127,0.2793281620269012,0.4489495307882132
10,10,1,0.0,0.07817180123519728,0.2355572182110156,0.33185907792971914,0.06479953570552947,0.20188937527847733,0.3209655565883437
10,10,1,0.0,0.3234502245329249,0.47678325122091,0.6784009792807494,0.282542524299094,0.4141623524302848,0.6822023359707806
10,10,1,0.0,0.15179126554060257,0.3369093371460753,0.4505403941203023,0.11069596509049429,0.2666667009195057,0.41510981576926725
10,10,1,0.0,0.27547789634883296,0.44641711393933337,0.6170863252036289,0.23537937800724562,0.38734637911299763,0.6076715588416025
10,10,1,0.0,0.07012323312556186,0.22020527210090374,0.31844484219900776,0.06800233588674774,0.20559449939803046,0.3307595100348253
10,10,1,0.0,0.3372512716822577,0.4828254135955177,0.6984952783881145,0.27825403001016946,0.4076490207448946,0.6825823584752333
10,10,1,0.0,0.06550863029219306,0.21081303392139247,0.3107427898249393,0.06258316396542994,0.1918970868168302,0.3261287860256413
