unit,duration,input.Link,job,output.Answer,output.Answer.annotations,output.Answer.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial
100,0.0,https://forms.gle/THgNSrpyhWR8Hthi8,data/Answers_general,"Counter({'4': 8, '3': 2, '5': 1, '2': 1, '1': 0, 'revolt': 0, 'strike': 0, 'protest': 0, 'insurrection': 0, 'justice': 0, 'anger': 0, 'violence': 0, 'desperation': 0})",12,4,12,0.7382703943223695,"Counter({'4': 0.871732861176411, '3': 0.0643350376764374, '5': 0.04247373604220785, '2': 0.02145836510494388, '1': 0.0, 'revolt': 0.0, 'strike': 0.0, 'protest': 0.0, 'insurrection': 0.0, 'justice': 0.0, 'anger': 0.0, 'violence': 0.0, 'desperation': 0.0})",0.4393939393939394,"Counter({'4': 0.6666666666666666, '3': 0.16666666666666666, '5': 0.08333333333333333, '2': 0.08333333333333333, '1': 0.0, 'revolt': 0.0, 'strike': 0.0, 'protest': 0.0, 'insurrection': 0.0, 'justice': 0.0, 'anger': 0.0, 'violence': 0.0, 'desperation': 0.0})"
200,0.0,https://forms.gle/THgNSrpyhWR8Hthi20,data/Answers_general,"Counter({'protest': 9, 'strike': 7, 'revolt': 4, 'insurrection': 1, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, 'justice': 0, 'anger': 0, 'violence': 0, 'desperation': 0})",21,4,12,0.6336264609659421,"Counter({'protest': 0.8330878325624579, 'strike': 0.5914380280525698, 'revolt': 0.22242359220790214, 'insurrection': 0.01996267302230438, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, 'justice': 0.0, 'anger': 0.0, 'violence': 0.0, 'desperation': 0.0})",0.5652254023175328,"Counter({'protest': 0.75, 'strike': 0.5833333333333334, 'revolt': 0.3333333333333333, 'insurrection': 0.08333333333333333, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, 'justice': 0.0, 'anger': 0.0, 'violence': 0.0, 'desperation': 0.0})"
300,0.0,https://forms.gle/THgNSrpyhWR8Hthi32,data/Answers_general,"Counter({'anger': 10, 'desperation': 7, 'justice': 5, 'violence': 4, '1': 0, '2': 0, '3': 0, '4': 0, '5': 0, 'revolt': 0, 'strike': 0, 'protest': 0, 'insurrection': 0})",26,4,12,0.6403693209250878,"Counter({'anger': 0.9238887863270225, 'desperation': 0.6525980775482988, 'justice': 0.3852815743044383, 'violence': 0.27216597443915996, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, 'revolt': 0.0, 'strike': 0.0, 'protest': 0.0, 'insurrection': 0.0})",0.5579200768965193,"Counter({'anger': 0.8333333333333334, 'desperation': 0.5833333333333334, 'justice': 0.4166666666666667, 'violence': 0.3333333333333333, '1': 0.0, '2': 0.0, '3': 0.0, '4': 0.0, '5': 0.0, 'revolt': 0.0, 'strike': 0.0, 'protest': 0.0, 'insurrection': 0.0})"
