,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,1.0,,,,,,,,,0.5
rechtvaardigheid,1.0,,,,,,1.0,,,
onrust,0.5,,0.5,1.0,,1.0,,0.5,1.0,
opstandigheid,,0.5,,,,,,,,
opstand,,0.5,,0.5,1.0,,,,,0.5
anarchie,,0.5,,,,,,,,
vandalisme,,,0.5,,,,,1.0,1.0,1.0
verwoesting,,,0.5,,,1.0,,1.0,1.0,
verzet,,,,1.0,,,,,,
revolutie,,,,,1.0,,1.0,,,
gelijkheid,,,,,1.0,,1.0,,,
oproer,,,,,,1.0,,,,
