,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,0.61279103935335,,,0.45762674614806137,0.6143418201806775,,,0.3772120338041746,,
opstand,0.4919961011238602,0.7826397168386892,,,0.4904453202965326,,0.47095682748700074,,0.5709894934974146,
staking,0.4699141350876525,,,,,,,,,
verwoesting,,0.7725730659166417,0.7826397168386892,,,0.7275751066730356,0.45762674614806137,0.7826397168386892,0.8646625362184651,0.8148105450499137
onrust,,0.6984183706943388,0.5740189205036362,,,0.5740189205036362,,,,
oproer,,,0.6662475424831144,0.4919961011238602,,,,,,0.5339271078367908
revolutie,,,,0.4919961011238602,,0.2951892144243986,,,,
vrijheidsstrijd,,,,,0.6038426767698654,,,,,
vandalisme,,,,,,,0.7482703618628903,0.6756693843705988,0.530768219973574,0.7694141780534248
