,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,0.9209948524082894,,,,0.5605625157492359,,0.6919842649299814,,,
rechtvaardigheid,0.6792695833858237,,,,0.4869187532285506,,0.6451698804229782,,,
gelijkheid,0.5093053090379993,,,,0.7139617487057627,,,,,
onrust,,0.6338214859357489,0.7990656605800079,0.6957364155545003,,0.9172502712204657,,0.6769909298116342,0.9112625488203608,0.7005790075739369
vandalisme,,0.4569001087746887,0.49795691455077007,,,0.5047887920891844,,0.684218693078194,0.783946065724038,0.6219587586510376
verwoesting,,0.4145978370134426,0.5986324618849451,0.5128474821475246,,0.8529932927974533,,0.7715327050053434,0.7946486099900526,
verzet,,,,0.6280204047135219,,,,,,
opstand,,,,,,,0.6411196906665394,,,0.5429886189172578
