,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,0.6767112909797877,,,,,,0.6135925692869293,0.5725673712419803,,
emancipatie,0.6457200479660413,,0.42698675607143033,0.42698675607143033,,,,,,
opstand,0.6135925692869293,0.7812667081053889,,,0.8222919061503379,,0.6035586142557268,,0.7812667081053889,0.42698675607143033
verwoesting,,0.5725673712419803,0.6035586142557268,,,0.6767112909797877,,0.8222919061503379,0.8222919061503379,0.6035586142557268
onrust,,0.42743262875801963,,,,,,,,
gelijkheid,,,0.42698675607143033,0.45797799908517667,0.85441938482945,0.6457200479660413,0.6457200479660413,,,
verzet,,,,0.6051407226076818,,,,,,
vrijheidsstrijd,,,,,0.6035586142557268,0.46801195411637914,,,,
vandalisme,,,,,,,,0.6457200479660413,0.85441938482945,0.85441938482945
