,Unit 101,Unit 102,Unit 103,Unit 104,Unit 105,Unit 106,Unit 107,Unit 108,Unit 109,Unit 110
protest,0.7998710501313431,,,,0.6463231258617123,,0.6785699237558713,,,
rechtvaardigheid,0.6032228768829673,,,,0.6545558612665959,,0.53109303884734,,,
gelijkheid,0.4880001046107695,,,,0.4992988080844659,,,,,
onrust,,0.6274284142535707,0.7006294274123075,0.6730137369510326,,0.8440093588794215,,0.5318700220915751,0.7675218962982214,0.5539833909008225
vandalisme,,0.4849263634612581,0.507039863818929,,,0.40755633631721633,,0.7994452937708809,,0.6626077694573457
verwoesting,,0.429171531921214,0.5480807834069152,0.5218144730151019,,0.7823508084536489,,0.6432082105238626,0.7890009664366214,0.5324038813798161
verzet,,,,0.46043713561869926,,,,,,
opstand,,,,,,,0.5095495000922742,,0.6036977274759201,
