;Mean;range;variance;std_deviations
Very Weak;0,381;0,279;0,010;0,098
Weak;0,417;0,150;0,002;0,048
Neutral;0,336;0,285;0,008;0,091
Strong;0,396;0,120;0,002;0,049
Very Strong;0,396;0,120;0,002;0,049
